A-bPCE: N=106, Pf=0.001272, range=[0.001195, 0.001461], relative range=0.20912, stable=0
A-bPCE: N=107, Pf=0.001157, range=[0.075413, 0.198064], relative range=106.01, stable=0
A-bPCE: N=108, Pf=0.001282, range=[0.001199, 0.010812], relative range=7.4984, stable=0
A-bPCE: N=109, Pf=0.001268, range=[0.001184, 0.001428], relative range=0.19243, stable=0
A-bPCE: N=110, Pf=0.001302, range=[0.001172, 0.001512], relative range=0.26114, stable=0
A-bPCE: N=111, Pf=0.001323, range=[0.001209, 0.001469], relative range=0.19652, stable=0
A-bPCE: N=112, Pf=0.00135, range=[0.00122, 0.00153], relative range=0.22963, stable=0
A-bPCE: N=113, Pf=0.001332, range=[0.00119, 0.001498], relative range=0.23123, stable=0
A-bPCE: N=114, Pf=0.001325, range=[0.001241, 0.001514], relative range=0.20604, stable=0
A-bPCE: N=115, Pf=0.001315, range=[0.00126, 0.001453], relative range=0.14677, stable=1
A-bPCE: N=116, Pf=0.001284, range=[0.001145, 0.001482], relative range=0.26246, stable=0
A-bPCE: N=117, Pf=0.001336, range=[0.00118, 0.001604], relative range=0.31737, stable=0
A-bPCE: N=118, Pf=0.001326, range=[0.001177, 0.001678], relative range=0.37783, stable=0
A-bPCE: N=119, Pf=0.00135, range=[0.001257, 0.001524], relative range=0.19778, stable=0
A-bPCE: N=120, Pf=0.00129, range=[0.001219, 0.001446], relative range=0.17597, stable=0
A-bPCE: N=121, Pf=0.001341, range=[0.001232, 0.001481], relative range=0.18568, stable=0
A-bPCE: N=122, Pf=0.001283, range=[0.001157, 0.001474], relative range=0.24708, stable=0
A-bPCE: N=123, Pf=0.001307, range=[0.001195, 0.001454], relative range=0.19816, stable=0
A-bPCE: N=124, Pf=0.001352, range=[0.001241, 0.001542], relative range=0.22263, stable=0
A-bPCE: N=125, Pf=0.001338, range=[0.001288, 0.001562], relative range=0.20478, stable=0
A-bPCE: N=126, Pf=0.001351, range=[0.001237, 0.001523], relative range=0.2117, stable=0
A-bPCE: N=127, Pf=0.001361, range=[0.001247, 0.001539], relative range=0.21455, stable=0
A-bPCE: N=128, Pf=0.00141, range=[0.001309, 0.001602], relative range=0.2078, stable=0
A-bPCE: N=129, Pf=0.00137, range=[0.001266, 0.001525], relative range=0.18905, stable=0
A-bPCE: N=130, Pf=0.001366, range=[0.001212, 0.001559], relative range=0.25403, stable=0
A-bPCE: N=131, Pf=0.001363, range=[0.001239, 0.00152], relative range=0.20616, stable=0
A-bPCE: N=132, Pf=0.001342, range=[0.001238, 0.001477], relative range=0.17809, stable=0
A-bPCE: N=133, Pf=0.001337, range=[0.001245, 0.001478], relative range=0.17427, stable=0
A-bPCE: N=134, Pf=0.0013, range=[0.001211, 0.001438], relative range=0.17462, stable=0
A-bPCE: N=135, Pf=0.00133, range=[0.001223, 0.001525], relative range=0.22707, stable=0
A-bPCE: N=136, Pf=0.00135, range=[0.001247, 0.001573], relative range=0.24148, stable=0
A-bPCE: N=137, Pf=0.001346, range=[0.001271, 0.001484], relative range=0.15825, stable=0
A-bPCE: N=138, Pf=0.00138, range=[0.001264, 0.001505], relative range=0.17464, stable=0
A-bPCE: N=139, Pf=0.001429, range=[0.001315, 0.001611], relative range=0.20714, stable=0
A-bPCE: N=140, Pf=0.001435, range=[0.001334, 0.001652], relative range=0.2216, stable=0
A-bPCE: N=141, Pf=0.00145, range=[0.001342, 0.001624], relative range=0.19448, stable=0
A-bPCE: N=142, Pf=0.001413, range=[0.001338, 0.001676], relative range=0.23921, stable=0
A-bPCE: N=143, Pf=0.00141, range=[0.001285, 0.001572], relative range=0.20355, stable=0
A-bPCE: N=144, Pf=0.001463, range=[0.001362, 0.001737], relative range=0.25632, stable=0
A-bPCE: N=145, Pf=0.001497, range=[0.001388, 0.001734], relative range=0.23113, stable=0
A-bPCE: N=146, Pf=0.001492, range=[0.00138, 0.001687], relative range=0.20576, stable=0
A-bPCE: N=147, Pf=0.001492, range=[0.001347, 0.001651], relative range=0.20375, stable=0
A-bPCE: N=148, Pf=0.001469, range=[0.001384, 0.001665], relative range=0.19129, stable=0
A-bPCE: N=149, Pf=0.001496, range=[0.001363, 0.001687], relative range=0.21658, stable=0
A-bPCE: N=150, Pf=0.001543, range=[0.001404, 0.001662], relative range=0.16721, stable=0
A-bPCE: N=151, Pf=0.001487, range=[0.00141, 0.00163], relative range=0.14795, stable=1
A-bPCE: N=152, Pf=0.001488, range=[0.001361, 0.00167], relative range=0.20766, stable=0
A-bPCE: N=153, Pf=0.001472, range=[0.001395, 0.001644], relative range=0.16916, stable=0
A-bPCE: N=154, Pf=0.00149, range=[0.001367, 0.001675], relative range=0.20671, stable=0
A-bPCE: N=155, Pf=0.0015, range=[0.001373, 0.001641], relative range=0.17867, stable=0
A-bPCE: N=156, Pf=0.001538, range=[0.001409, 0.001679], relative range=0.17555, stable=0
