seed,pf,beta,evals
0,2.845085e-02,1.904065,65
1,2.875888e-02,1.899355,65
2,2.873087e-02,1.899782,65
3,2.853685e-02,1.902746,65
4,2.891489e-02,1.896986,65
5,2.860486e-02,1.901705,65
6,2.875288e-02,1.899447,65
7,2.854885e-02,1.902562,65
8,2.831483e-02,1.906158,65
9,2.864886e-02,1.901033,65
10,2.855686e-02,1.902440,65
11,2.850485e-02,1.903236,65
12,2.857686e-02,1.902133,65
13,2.871687e-02,1.899995,65
14,2.866487e-02,1.900788,65
15,2.876688e-02,1.899234,65
16,2.872887e-02,1.899812,65
17,2.861686e-02,1.901522,65
18,2.854885e-02,1.902562,65
19,2.852685e-02,1.902899,65
20,2.869687e-02,1.900300,65
21,2.872487e-02,1.899873,65
22,2.846685e-02,1.903820,65
23,2.856286e-02,1.902348,65
24,2.874087e-02,1.899630,65
25,2.857686e-02,1.902133,65
26,2.853085e-02,1.902838,65
27,2.867887e-02,1.900575,65
28,2.842084e-02,1.904526,65
29,2.870887e-02,1.900117,65
30,2.870287e-02,1.900209,65
31,2.869087e-02,1.900392,65
32,2.876288e-02,1.899295,65
33,2.862086e-02,1.901460,65
34,2.872087e-02,1.899934,65
35,2.868287e-02,1.900514,65
36,2.871887e-02,1.899965,65
37,2.861086e-02,1.901613,65
38,2.850485e-02,1.903236,65
39,2.852285e-02,1.902960,65
40,2.842084e-02,1.904526,65
41,2.845285e-02,1.904035,65
42,2.857086e-02,1.902225,65
43,2.868487e-02,1.900483,65
44,2.861486e-02,1.901552,65
45,2.845685e-02,1.903973,65
46,2.864286e-02,1.901124,65
47,2.874887e-02,1.899508,65
48,2.858086e-02,1.902072,65
49,2.878888e-02,1.898899,65
50,2.851885e-02,1.903022,65
51,2.881288e-02,1.898534,65
52,2.870687e-02,1.900148,65
53,2.868687e-02,1.900453,65
54,2.850085e-02,1.903298,65
55,2.848685e-02,1.903513,65
56,2.860486e-02,1.901705,65
57,2.854885e-02,1.902562,65
58,2.846885e-02,1.903789,65
59,2.865887e-02,1.900880,65
60,2.868487e-02,1.900483,65
61,2.855086e-02,1.902531,65
62,2.865287e-02,1.900972,65
63,2.856486e-02,1.902317,65
64,2.859286e-02,1.901889,65
65,2.851485e-02,1.903083,65
66,2.864086e-02,1.901155,65
67,2.845685e-02,1.903973,65
68,2.882888e-02,1.898291,65
69,2.857286e-02,1.902195,65
70,2.871287e-02,1.900056,65
71,2.854685e-02,1.902593,65
72,2.841284e-02,1.904649,65
73,2.855486e-02,1.902470,65
74,2.882488e-02,1.898352,65
75,2.856686e-02,1.902286,65
76,2.853285e-02,1.902807,65
77,2.856086e-02,1.902378,65
78,2.851885e-02,1.903022,65
79,2.841484e-02,1.904618,65
80,2.874287e-02,1.899599,65
81,2.845085e-02,1.904065,65
82,2.873687e-02,1.899691,65
83,2.847285e-02,1.903727,65
84,2.882288e-02,1.898382,65
85,2.842284e-02,1.904495,65
86,2.864086e-02,1.901155,65
87,2.869087e-02,1.900392,65
88,2.827083e-02,1.906837,65
89,2.854685e-02,1.902593,65
90,2.875688e-02,1.899386,65
91,2.850885e-02,1.903175,65
92,2.861286e-02,1.901583,65
93,2.856086e-02,1.902378,65
94,2.867887e-02,1.900575,65
95,2.892489e-02,1.896834,65
96,2.842884e-02,1.904403,65
97,2.863886e-02,1.901185,65
98,2.834683e-02,1.905665,65
99,2.850885e-02,1.903175,65
