seed,pf,beta,evals
0,1.843206e-03,2.903819,65
1,1.857417e-03,2.901413,65
2,1.847943e-03,2.903015,65
3,1.846364e-03,2.903283,65
4,1.854259e-03,2.901947,65
5,1.856891e-03,2.901502,65
6,1.905053e-03,2.893470,65
7,1.880049e-03,2.897617,65
8,1.889497e-03,2.896044,65
9,1.853207e-03,2.902124,65
10,1.851628e-03,2.902391,65
11,1.879523e-03,2.897704,65
12,1.854786e-03,2.901858,65
13,1.859523e-03,2.901058,65
14,1.842680e-03,2.903908,65
15,1.846891e-03,2.903194,65
16,1.848996e-03,2.902837,65
17,1.845838e-03,2.903372,65
18,1.845838e-03,2.903372,65
19,1.846891e-03,2.903194,65
20,1.853207e-03,2.902124,65
21,1.863207e-03,2.900438,65
22,1.862681e-03,2.900527,65
23,1.837943e-03,2.904714,65
24,1.849522e-03,2.902748,65
25,1.846891e-03,2.903194,65
26,1.870049e-03,2.899289,65
27,1.844785e-03,2.903551,65
28,1.916720e-03,2.891552,65
29,1.859523e-03,2.901058,65
30,1.842154e-03,2.903998,65
31,1.846364e-03,2.903283,65
32,1.847943e-03,2.903015,65
33,1.850049e-03,2.902659,65
34,1.855838e-03,2.901680,65
35,1.859523e-03,2.901058,65
36,1.849522e-03,2.902748,65
37,1.850575e-03,2.902570,65
38,1.851101e-03,2.902480,65
39,1.875313e-03,2.898408,65
40,1.858470e-03,2.901236,65
41,1.856891e-03,2.901502,65
42,1.850575e-03,2.902570,65
43,1.855838e-03,2.901680,65
44,1.868470e-03,2.899554,65
45,1.912831e-03,2.892190,65
46,1.860575e-03,2.900881,65
47,1.888941e-03,2.896136,65
48,1.836364e-03,2.904983,65
49,1.869523e-03,2.899377,65
50,1.856891e-03,2.901502,65
51,1.848996e-03,2.902837,65
52,1.877944e-03,2.897968,65
53,1.855838e-03,2.901680,65
54,1.842154e-03,2.903998,65
55,1.913942e-03,2.892008,65
56,1.859523e-03,2.901058,65
57,1.848996e-03,2.902837,65
58,1.878997e-03,2.897792,65
59,1.853207e-03,2.902124,65
60,1.865839e-03,2.899996,65
61,1.853207e-03,2.902124,65
62,1.846891e-03,2.903194,65
63,1.855312e-03,2.901769,65
64,1.860575e-03,2.900881,65
65,1.887275e-03,2.896413,65
66,1.851101e-03,2.902480,65
67,1.848470e-03,2.902926,65
68,1.880049e-03,2.897617,65
69,1.861102e-03,2.900792,65
70,1.928387e-03,2.889645,65
71,1.841627e-03,2.904087,65
72,1.847943e-03,2.903015,65
73,1.857417e-03,2.901413,65
74,1.883386e-03,2.897060,65
75,1.852680e-03,2.902213,65
76,1.866365e-03,2.899907,65
77,1.855312e-03,2.901769,65
78,1.876891e-03,2.898144,65
79,1.864260e-03,2.900261,65
80,1.904497e-03,2.893562,65
81,1.849522e-03,2.902748,65
82,1.865312e-03,2.900084,65
83,1.900608e-03,2.894204,65
84,1.866365e-03,2.899907,65
85,1.867418e-03,2.899731,65
86,1.843733e-03,2.903730,65
87,1.881719e-03,2.897338,65
88,1.851628e-03,2.902391,65
89,1.858470e-03,2.901236,65
90,1.861102e-03,2.900792,65
91,1.850575e-03,2.902570,65
92,1.853733e-03,2.902035,65
93,1.846364e-03,2.903283,65
94,1.860575e-03,2.900881,65
95,1.843206e-03,2.903819,65
96,1.876891e-03,2.898144,65
97,1.856891e-03,2.901502,65
98,1.844259e-03,2.903640,65
99,1.909497e-03,2.892738,65
