seed,pf,beta,evals
0,8.957481e-02,1.343378,120
1,2.794319e-02,1.911921,72
2,1.065436e-01,1.245121,79
3,8.157881e-02,1.394530,118
4,7.587239e-02,1.433396,123
5,1.686589e-02,2.123263,71
6,2.893312e-02,1.896710,69
7,3.042122e-02,1.874639,68
8,2.874791e-02,1.899522,83
9,2.160046e-02,2.021762,72
10,3.603119e-02,1.798724,87
11,2.720170e-02,1.923611,83
12,3.837307e-02,1.769886,81
13,2.545655e-02,1.952212,65
14,3.479548e-02,1.814564,65
15,1.915199e-02,2.071587,67
16,3.744864e-02,1.781093,77
17,5.470755e-02,1.600828,84
18,2.968176e-02,1.885491,112
19,3.568364e-02,1.803133,66
20,8.775896e-03,2.374940,123
21,2.557122e-02,1.950283,78
22,3.841392e-02,1.769396,66
23,3.526651e-02,1.808472,79
24,9.499444e-03,2.345553,91
25,5.705073e-02,1.580024,74
26,3.665950e-02,1.790840,90
27,4.980586e-02,1.646739,114
28,1.481590e-02,2.174978,79
29,2.036604e-02,2.046247,65
30,1.989439e-02,2.055935,75
31,7.424203e-02,1.444907,96
32,9.041612e-02,1.338197,82
33,3.462836e-02,1.816741,78
34,3.400270e-02,1.824971,143
35,4.587578e-02,1.686230,78
36,4.976577e-02,1.647129,73
37,6.220022e-02,1.536563,65
38,2.680079e-02,1.930042,67
39,2.738312e-02,1.920726,72
40,2.607061e-02,1.941966,65
41,3.814612e-02,1.772617,69
42,3.519966e-02,1.809333,67
43,4.820856e-02,1.662477,83
44,2.463846e-02,1.966188,65
45,1.796580e-02,2.097701,65
46,3.341401e-02,1.832829,75
47,1.687816e-02,2.122971,79
48,3.445993e-02,1.818945,72
49,3.660195e-02,1.791557,69
50,1.828601e-02,2.090510,70
51,2.424252e-02,1.973092,67
52,2.650065e-02,1.934910,65
53,4.686322e-02,1.676060,92
54,3.324159e-02,1.835152,69
55,1.020191e-01,1.270130,99
56,2.847107e-02,1.903755,69
57,4.185594e-02,1.729543,86
58,8.097587e-03,2.404487,113
59,5.471199e-02,1.600788,88
60,3.828982e-02,1.770886,91
61,2.419656e-02,1.973900,68
62,7.656347e-02,1.428573,116
63,3.670248e-02,1.790305,76
64,4.770944e-02,1.667481,93
65,5.119666e-02,1.633360,80
66,7.709727e-02,1.424871,114
67,7.026285e-02,1.473836,78
68,2.458725e-02,1.967076,81
69,2.440683e-02,1.970216,73
70,4.512560e-02,1.694074,77
71,2.183231e-02,2.017296,68
72,3.999456e-02,1.750749,72
73,2.379438e-02,1.981022,65
74,9.249731e-02,1.325532,141
75,2.605913e-02,1.942156,75
76,2.495250e-02,1.960777,65
77,6.550943e-02,1.510096,87
78,2.640675e-02,1.936443,67
79,1.008981e-01,1.276451,65
80,5.938103e-02,1.559991,91
81,3.366458e-02,1.829470,83
82,5.576847e-02,1.591323,73
83,6.856182e-02,1.486588,72
84,7.016765e-02,1.474544,98
85,8.336917e-02,1.382760,94
86,7.031345e-02,1.473461,68
87,2.636864e-02,1.937066,65
88,3.500750e-02,1.811814,65
89,1.541796e-01,1.018671,85
90,2.036808e-02,2.046206,66
91,3.058647e-02,1.872243,88
92,4.560084e-02,1.689093,90
93,2.180818e-02,2.017759,65
94,3.962420e-02,1.755064,68
95,3.630221e-02,1.795309,73
96,3.209540e-02,1.850852,68
97,9.108984e-02,1.334074,69
98,2.567754e-02,1.948501,84
99,1.562806e-02,2.153797,81
