seed,pf,beta,evals
0,3.058059e-02,1.872328,90
1,1.476562e-02,2.176321,70
2,2.785740e-02,1.913260,76
3,4.533070e-02,1.691919,111
4,6.798893e-02,1.490938,66
5,7.837309e-02,1.416100,73
6,4.992799e-02,1.645552,75
7,4.358653e-02,1.710502,67
8,2.865790e-02,1.900895,83
9,2.991123e-02,1.882100,69
10,1.795735e-02,2.097892,164
11,2.252902e-02,2.004112,82
12,2.280842e-02,1.998922,68
13,6.458097e-02,1.517415,69
14,3.098916e-02,1.866451,66
15,2.600265e-02,1.943090,66
16,6.905691e-02,1.482852,65
17,4.553455e-02,1.689785,65
18,2.442547e-02,1.969890,86
19,3.066931e-02,1.871047,69
20,3.800568e-02,1.774313,195
21,2.246243e-02,2.005357,69
22,3.773951e-02,1.777543,88
23,1.424171e-02,2.190563,75
24,1.357152e-02,2.209455,71
25,2.024215e-02,2.048773,68
26,5.660245e-02,1.583951,72
27,5.918219e-02,1.561676,118
28,5.650067e-02,1.584846,74
29,2.143644e-02,2.024946,72
30,2.028835e-02,2.047830,73
31,2.848119e-02,1.903599,71
32,3.887589e-02,1.763882,65
33,6.723457e-02,1.496708,168
34,1.757983e-02,2.106515,67
35,5.631338e-02,1.586496,116
36,4.473626e-02,1.698187,152
37,6.182039e-02,1.539670,99
38,3.544275e-02,1.806210,82
39,1.864809e-02,2.082507,71
40,3.100985e-02,1.866155,77
41,2.714007e-02,1.924594,90
42,6.998684e-02,1.475889,121
43,2.791253e-02,1.912399,132
44,2.525014e-02,1.955702,97
45,8.800925e-02,1.353116,113
46,2.229330e-02,2.008534,89
47,8.945145e-03,2.367881,79
48,3.707045e-02,1.785743,75
49,3.965411e-02,1.754714,92
50,3.100802e-02,1.866181,112
51,4.614197e-02,1.683471,123
52,3.139720e-02,1.860644,66
53,1.508360e-02,2.167888,68
54,5.883988e-02,1.564587,82
55,8.637048e-02,1.363449,122
56,3.481555e-02,1.814303,66
57,4.060687e-02,1.743687,75
58,1.451968e-02,2.182952,73
59,1.421084e-02,2.191416,115
60,3.913806e-02,1.760777,118
61,3.774143e-02,1.777519,87
62,5.846041e-02,1.567830,104
63,2.300046e-02,1.995385,112
64,1.325748e-02,2.218585,71
65,9.546065e-02,1.307859,186
66,9.168551e-02,1.330447,165
67,4.867632e-02,1.657826,121
68,3.482053e-02,1.814238,80
69,1.206721e-02,2.254983,65
70,7.708956e-02,1.424924,90
71,4.038129e-02,1.746278,130
72,9.588249e-02,1.305376,101
73,2.488528e-02,1.961931,81
74,4.617051e-03,2.603263,65
75,2.493069e-02,1.961151,69
76,2.238482e-02,2.006812,78
77,2.166851e-02,2.020447,73
78,1.395962e-02,2.198419,73
79,5.488621e-02,1.599217,108
80,2.125017e-02,2.028587,66
81,1.740068e-02,2.110662,207
82,5.418154e-02,1.605594,103
83,7.719834e-02,1.424172,82
84,3.767497e-02,1.778328,81
85,3.584037e-02,1.801140,76
86,4.829551e-02,1.661610,72
87,1.097710e-02,2.291159,65
88,5.268506e-02,1.619359,82
89,5.384414e-02,1.608671,72
90,1.979998e-02,2.057898,65
91,4.310429e-02,1.715746,88
92,5.090109e-02,1.636179,65
93,2.393188e-02,1.978576,96
94,2.602276e-02,1.942757,68
95,3.222412e-02,1.849066,110
96,3.729359e-02,1.782995,90
97,6.042634e-02,1.551205,84
98,3.983573e-02,1.752596,112
99,2.657388e-02,1.933718,88
