seed,pf,beta,evals
0,4.535393e-03,2.609375,67
1,2.855714e-03,2.763904,65
2,1.640043e-04,3.592112,68
3,4.955438e-03,2.578923,68
4,4.535378e-03,2.609376,65
5,4.770405e-03,2.592042,66
6,1.830069e-03,2.906058,68
7,4.327056e-03,2.625424,69
8,3.020168e-03,2.745584,65
9,2.954609e-03,2.752777,65
10,3.301465e-03,2.716234,67
11,4.345362e-03,2.623986,65
12,2.891285e-03,2.759863,69
13,2.909051e-03,2.757861,65
14,2.874617e-03,2.761751,69
15,4.603786e-03,2.604249,74
16,4.302104e-03,2.627392,76
17,1.737391e-03,2.922281,65
18,4.302025e-03,2.627399,65
19,2.887938e-03,2.760241,65
20,2.729136e-03,2.778665,65
21,4.780534e-03,2.591312,82
22,4.375365e-03,2.621642,65
23,4.878886e-03,2.584297,83
24,1.743391e-03,2.921207,65
25,4.728767e-03,2.595057,70
26,2.782139e-03,2.772411,65
27,4.602073e-03,2.604377,68
28,1.760059e-03,2.918241,65
29,4.315360e-03,2.626345,65
30,2.933496e-03,2.755124,65
31,2.678137e-03,2.784788,66
32,1.740725e-03,2.921684,65
33,4.935428e-03,2.580321,67
34,2.841278e-03,2.765558,68
35,4.930493e-03,2.580666,75
36,2.919051e-03,2.756738,65
37,1.815045e-04,3.565611,65
38,2.913495e-03,2.757361,65
39,4.352153e-03,2.623455,82
40,1.934356e-03,2.888673,66
41,2.823490e-03,2.767605,65
42,4.462061e-03,2.614947,68
43,4.457135e-03,2.615325,78
44,4.667141e-03,2.599562,76
45,4.332136e-03,2.625025,80
46,1.926497e-03,2.889953,65
47,1.932212e-03,2.889022,65
48,1.750058e-03,2.920018,65
49,3.023542e-03,2.745217,77
50,1.760044e-04,3.573673,65
51,2.862381e-03,2.763143,65
52,1.694435e-03,2.930069,72
53,2.825713e-03,2.767349,65
54,4.425369e-03,2.617766,65
55,4.292060e-03,2.628187,70
56,3.012390e-03,2.746430,65
57,4.738744e-03,2.594332,67
58,4.702059e-03,2.597003,65
59,1.740044e-04,3.576663,65
60,3.133546e-03,2.733470,76
61,3.034613e-03,2.744018,65
62,1.906509e-03,2.893230,74
63,4.607081e-03,2.604004,69
64,2.722144e-03,2.779499,68
65,2.883506e-03,2.760742,69
66,2.757138e-03,2.775347,65
67,2.812141e-03,2.768918,65
68,2.780139e-03,2.772645,65
69,2.799140e-03,2.770427,65
70,1.701390e-03,2.928796,65
71,4.455379e-03,2.615459,66
72,1.919354e-03,2.891121,65
73,4.450393e-03,2.615842,68
74,1.765044e-04,3.572930,65
75,4.468758e-03,2.614435,72
76,4.490374e-03,2.612786,65
77,5.027102e-03,2.573959,67
78,2.824614e-03,2.767476,69
79,2.751138e-03,2.776056,65
80,2.395060e-04,3.492226,65
81,1.766726e-03,2.917062,65
82,4.353696e-03,2.623334,65
83,4.543757e-03,2.608744,71
84,1.750725e-03,2.919899,65
85,1.740046e-04,3.576662,68
86,4.477040e-03,2.613802,65
87,3.103513e-03,2.736640,67
88,4.543712e-03,2.608748,65
89,4.633719e-03,2.602028,65
90,1.735391e-03,2.922639,65
91,4.437051e-03,2.616867,67
92,2.706135e-03,2.781414,65
93,1.896496e-03,2.894884,65
94,3.085727e-03,2.738530,65
95,1.730043e-04,3.578170,65
96,2.695135e-03,2.782736,65
97,4.740403e-03,2.594212,66
98,1.781393e-03,2.914483,65
99,2.931287e-03,2.755370,69
