seed,pf,beta,evals
0,1.757252e-03,2.918739,181
1,1.540585e-03,2.959522,195
2,1.413965e-03,2.985848,215
3,2.175936e-03,2.851462,167
4,2.006063e-03,2.877207,187
5,2.811476e-03,2.768995,186
6,2.795979e-03,2.770795,151
7,1.460511e-03,2.975929,186
8,1.447048e-03,2.978768,160
9,1.363797e-03,2.996878,183
10,3.010873e-03,2.746595,139
11,1.893750e-03,2.895338,147
12,1.350230e-03,2.999925,149
13,1.734050e-03,2.922880,205
14,2.885822e-03,2.760480,138
15,7.718390e-04,3.166345,215
16,1.767138e-03,2.916990,161
17,2.536116e-03,2.802410,169
18,1.793925e-03,2.912294,180
19,1.337081e-03,3.002905,174
20,1.510524e-03,2.965588,185
21,1.890592e-03,2.895862,175
22,1.337023e-03,3.002918,161
23,2.045614e-03,2.871041,141
24,1.907258e-03,2.893107,174
25,2.420896e-03,2.817375,155
26,1.853964e-03,2.901996,183
27,1.530694e-03,2.961506,217
28,1.757188e-03,2.918750,170
29,1.450556e-03,2.978026,196
30,1.697080e-03,2.929584,154
31,1.347854e-03,3.000462,186
32,9.542462e-04,3.104115,210
33,2.015585e-03,2.875712,139
34,1.773889e-03,2.915800,175
35,1.927155e-03,2.889846,157
36,2.280639e-03,2.836487,137
37,1.587190e-03,2.950327,180
38,2.835907e-03,2.766175,145
39,2.395910e-03,2.820705,157
40,1.443636e-03,2.979491,144
41,1.627193e-03,2.942629,178
42,1.710701e-03,2.927099,204
43,1.927020e-03,2.889868,136
44,2.091098e-03,2.864082,186
45,1.460477e-03,2.975936,179
46,1.347682e-03,3.000500,135
47,1.527099e-03,2.962230,166
48,2.180611e-03,2.850779,137
49,1.800834e-03,2.911093,220
50,1.720505e-03,2.925321,169
51,1.410470e-03,2.986605,181
52,3.193033e-03,2.727270,271
53,1.450542e-03,2.978029,193
54,1.275277e-03,3.017278,168
55,1.533921e-03,2.960857,196
56,1.533753e-03,2.960891,163
57,2.070901e-03,2.867155,168
58,1.727116e-03,2.924128,159
59,1.927148e-03,2.889847,156
60,1.450411e-03,2.978057,166
61,1.970466e-03,2.882851,152
62,1.560609e-03,2.955540,198
63,1.477120e-03,2.972460,173
64,2.761035e-03,2.774888,156
65,1.547224e-03,2.958197,189
66,1.453721e-03,2.977358,161
67,2.201057e-03,2.847810,177
68,2.595727e-03,2.794908,137
69,2.315625e-03,2.831622,135
70,2.255733e-03,2.839992,146
71,1.307735e-03,3.009652,153
72,2.330629e-03,2.829556,135
73,1.950546e-03,2.886051,165
74,1.560479e-03,2.955566,173
75,1.873983e-03,2.898630,185
76,2.530924e-03,2.803071,154
77,2.066312e-03,2.867857,208
78,1.917037e-03,2.891500,139
79,1.517375e-03,2.964196,221
80,1.480479e-03,2.971762,178
81,1.380405e-03,2.993187,169
82,1.383665e-03,2.992466,153
83,1.860397e-03,2.900911,145
84,1.563802e-03,2.954910,171
85,2.290699e-03,2.835082,142
86,1.480434e-03,2.971772,169
87,1.347273e-03,3.000593,216
88,2.485907e-03,2.808854,154
89,1.373727e-03,2.994666,167
90,1.617146e-03,2.944546,170
91,1.640465e-03,2.940113,166
92,1.185362e-03,3.039372,203
93,1.947329e-03,2.886570,183
94,1.513777e-03,2.964926,169
95,1.437098e-03,2.980882,171
96,1.977359e-03,2.881751,186
97,2.050892e-03,2.870226,168
98,1.891034e-03,2.895789,245
99,1.560505e-03,2.955561,178
